Pole Number, Area, District, City, State, Latitude, Longitude
Punjab, , , , , 0.000000, 0.000000
Telangana, , , , , 0.000000, 0.000000
Tripura, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Mizoram, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Kerala, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Punjab, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Bihar, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Jammu and Kashmir, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Bihar, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Chhattisgarh, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Madhya Pradesh, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Rajasthan, , , , , 0.000000, 0.000000
Chhattisgarh, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Kerala, , , , , 0.000000, 0.000000
Maharashtra, , , , , 0.000000, 0.000000
Chandigarh, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Odisha, , , , , 0.000000, 0.000000
Daman and Diu, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Uttarakhand, , , , , 0.000000, 0.000000
Delhi, , , , , 0.000000, 0.000000
Jharkhand, , , , , 0.000000, 0.000000
Assam, , , , , 0.000000, 0.000000
Tamil Nadu, , , , , 0.000000, 0.000000
Assam, , , , , 0.000000, 0.000000
Daman and Diu, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Sikkim, , , , , 0.000000, 0.000000
Bihar, , , , , 0.000000, 0.000000
Gujarat, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Karnataka, , , , , 0.000000, 0.000000
Andhra Pradesh, , , , , 0.000000, 0.000000
Haryana, , , , , 0.000000, 0.000000
Assam, , , , , 0.000000, 0.000000
Madhya Pradesh, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
West Bengal, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
Punjab, , , , , 0.000000, 0.000000
Uttar Pradesh, , , , , 0.000000, 0.000000
