Pole Number, Area, District, City, State, Latitude, Longitude
#66103898, Ameerpet,  Hyderabad, Hyderabad, Telangana, 0.000000, 17.437400
#28598868, Sanathnagar,  Hyderabad, Hyderabad, Telangana, 0.000000, 17.452600
#19185487, Khairatabad,  Hyderabad, Hyderabad, Telangana, 0.000000, 17.405600
#91630059, Musheerabad,  Hyderabad, Hyderabad, Telangana, 0.000000, 17.419900
#94951224, Amberpet,  Hyderabad, Hyderabad, Telangana, 0.000000, 17.209100
#08205254, Nampally,  Hyderabad, Hyderabad, Telangana, 0.000000, 16.885900
#63287711, Secunderabad,  Hyderabad, Hyderabad, Telangana, 0.000000, 17.439900
#88204377, Secunderabad Cantonment,  Hyderabad, Hyderabad, Telangana, 0.000000, 17.441000
#45854236, Financial District, Rangareddy, Hyderabad, Telangana, 0.000000, 42.355300
#17448323, HITEC City, Hyderabad, Hyderabad, Telangana, 0.000000, 34.686700
#41459828, Jubilee Hills, Hyderabad, Hyderabad, Telangana, 0.000000, 17.426100
#19951917, Serilingampally, Rangareddy, Hyderabad, Telangana, 0.000000, 17.500500
#00219683, Kukatpally, Hyderabad , Hyderabad, Telangana, 0.000000, 17.494700
#31621061, Patancheru, Medak, Hyderabad, Telangana, 0.000000, 17.528900
#04214032, Old City, Hyderabad, Hyderabad, Telangana, 0.000000, 25.131100
#66908213, Balanagar, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.465000
#77949371, Qutbullapur, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.376400
#28792226, Medchal, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.630200
#10529216, Alwal, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.498000
#90717301, Malkajgiri, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.525400
#88269255, Kapra, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 58.478800
#79718986, Keesara, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.528000
#52960217, Uppal Kalan, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.398300
#85657670, Ghatkesar, Medchal Malkajgiri, Hyderabad, Telangana, 0.000000, 17.452900
#73937176, Dilsukhnagar, Rangareddy, Hyderabad, Telangana, 0.000000, 17.368700
#88658119, LB Nagar, Hyderabad , Hyderabad, Telangana, 0.000000, 17.341600
#54566564, Saroornagar, Rangareddy, Hyderabad, Telangana, 0.000000, 17.345300
#50955069, Hayathnagar, Rangareddy, Hyderabad, Telangana, 0.000000, 17.421600
#09088395, Mehdipatnam, Hyderabad , Hyderabad, Telangana, 0.000000, 17.386220
#57863203, Rajendranagar, Rangareddy, Hyderabad, Telangana, 0.000000, 27.637800
#49141705, Shamshabad, Rangareddy, Hyderabad, Telangana, 0.000000, 27.383200
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
