Pole Number, Area, District, City, State, Latitude, Longitude
#66103898, Ameerpet,  Hyderabad, Hyderabad, Telangana, 17.437462, 78.448288
#28598868, Sanathnagar,  Hyderabad, Hyderabad, Telangana, 17.452690, 78.443436
#19185487, Khairatabad,  Hyderabad, Hyderabad, Telangana, 17.405621, 78.466660
#91630059, Musheerabad,  Hyderabad, Hyderabad, Telangana, 17.419979, 78.511810
#94951224, Amberpet,  Hyderabad, Hyderabad, Telangana, 17.209169, 77.607903
#08205254, Nampally,  Hyderabad, Hyderabad, Telangana, 16.885990, 78.959511
#63287711, Secunderabad,  Hyderabad, Hyderabad, Telangana, 17.439930, 78.498276
#88204377, Secunderabad Cantonment,  Hyderabad, Hyderabad, Telangana, 17.441020, 78.488470
#45854236, Financial District, Rangareddy, Hyderabad, Telangana, 42.355301, -71.055283
#17448323, HITEC City, Hyderabad, Hyderabad, Telangana, 34.686722, -82.993958
#41459828, Jubilee Hills, Hyderabad, Hyderabad, Telangana, 17.426161, 78.412537
#19951917, Serilingampally, Rangareddy, Hyderabad, Telangana, 17.500580, 78.325272
#00219683, Kukatpally, Hyderabad , Hyderabad, Telangana, 17.494793, 78.399643
#31621061, Patancheru, Medak, Hyderabad, Telangana, 17.528910, 78.268120
#04214032, Old City, Hyderabad, Hyderabad, Telangana, 25.131130, 56.337971
#66908213, Balanagar, Medchal Malkajgiri, Hyderabad, Telangana, 17.465006, 78.450996
#77949371, Qutbullapur, Medchal Malkajgiri, Hyderabad, Telangana, 17.376431, 78.638153
#28792226, Medchal, Medchal Malkajgiri, Hyderabad, Telangana, 17.630222, 78.484215
#10529216, Alwal, Medchal Malkajgiri, Hyderabad, Telangana, 17.498096, 78.502701
#90717301, Malkajgiri, Medchal Malkajgiri, Hyderabad, Telangana, 17.525410, 78.532944
#88269255, Kapra, Medchal Malkajgiri, Hyderabad, Telangana, 58.478821, 23.019840
#79718986, Keesara, Medchal Malkajgiri, Hyderabad, Telangana, 17.528040, 78.654060
#52960217, Uppal Kalan, Medchal Malkajgiri, Hyderabad, Telangana, 17.398376, 78.558266
#85657670, Ghatkesar, Medchal Malkajgiri, Hyderabad, Telangana, 17.452900, 78.679100
#73937176, Dilsukhnagar, Rangareddy, Hyderabad, Telangana, 17.368784, 78.524673
#88658119, LB Nagar, Hyderabad , Hyderabad, Telangana, 17.341631, 78.504700
#54566564, Saroornagar, Rangareddy, Hyderabad, Telangana, 17.345369, 78.527199
#50955069, Hayathnagar, Rangareddy, Hyderabad, Telangana, 17.421690, 78.741837
#09088395, Mehdipatnam, Hyderabad , Hyderabad, Telangana, 17.386221, 78.439682
#57863203, Rajendranagar, Rangareddy, Hyderabad, Telangana, 27.637819, 80.294029
#49141705, Shamshabad, Rangareddy, Hyderabad, Telangana, 27.383240, 81.119408
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
, , , , , 0.000000, 0.000000
